epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,14382.6,1.30141,0.99226,0.97869,0.19732,0.04818,0.02566,0.01039,1.87722,1.59481,0.7023,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,14601.9,1.31117,0.99327,0.97575,0.19804,0.04782,0.02567,0.01046,1.87867,1.60489,0.7039,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,14820.4,1.28175,0.9731,0.97442,0.19795,0.04861,0.0258,0.01045,1.86918,1.61081,0.70199,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,15039.4,1.29258,0.97767,0.97241,0.19937,0.04857,0.02594,0.01048,1.86595,1.60937,0.70273,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,15259,1.29891,0.98144,0.97379,0.19988,0.04872,0.02619,0.01054,1.86536,1.60902,0.70394,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,15476.9,1.27576,0.97573,0.97326,0.20018,0.04872,0.02635,0.01063,1.8618,1.60479,0.70375,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,15694.8,1.28213,0.97499,0.97537,0.19993,0.04894,0.02652,0.01069,1.85726,1.59939,0.70273,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,15913.3,1.27134,0.96922,0.97279,0.19987,0.04918,0.02651,0.01062,1.85466,1.60161,0.70143,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,16131.7,1.28809,0.97357,0.9687,0.20043,0.04926,0.0265,0.01064,1.85467,1.60481,0.70106,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,16349.6,1.27019,0.96709,0.97132,0.20044,0.04902,0.02655,0.01063,1.8555,1.60484,0.7008,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,16568.9,1.27742,0.96721,0.97016,0.20004,0.04902,0.02659,0.01064,1.85644,1.60532,0.70123,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,16787.4,1.27165,0.96459,0.97264,0.19966,0.04902,0.02655,0.01064,1.86088,1.60489,0.70295,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,17006.4,1.27921,0.96719,0.97152,0.19938,0.04907,0.02656,0.01061,1.8662,1.60796,0.70459,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,17224.3,1.27715,0.96534,0.97027,0.19939,0.04902,0.02663,0.0106,1.86818,1.60761,0.70507,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,17443.7,1.28263,0.96524,0.97111,0.19921,0.04923,0.02662,0.01061,1.86902,1.60875,0.70558,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,17662.6,1.28364,0.97095,0.96927,0.19936,0.04948,0.02672,0.01061,1.86976,1.60925,0.70596,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,17881.3,1.27272,0.96122,0.96939,0.19896,0.04962,0.0267,0.0106,1.87003,1.6082,0.70614,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,18100,1.27902,0.96236,0.96697,0.19875,0.04958,0.02671,0.0106,1.87006,1.60696,0.70619,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,18318.6,1.27392,0.96265,0.97179,0.19884,0.0497,0.02674,0.01063,1.8692,1.60452,0.70592,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
